 ;Prometne nesreče - SKUPAJ;Prometne nesreče s smrtnim izidom;Prometne nesreče s telesno poškodbo;Prometne nesreče z materialno škodo;Število udeležencev - SKUPAJ;Število udeležencev - mrtvi;Število udeležencev s hudo telesno poškodbo;Število udeležencev z lahko telesno poškodbo;Število udeležencev brez poškodbe;Leto
Lokacija - SKUPAJ;41170;220;11456;29494;82644;242;1393;15310;65699;2003
Avtocesta;2009;20;463;1526;3828;21;79;678;3050;2003
V naselju;26217;67;6551;19599;53035;72;624;8565;43774;2003
Zunaj naselja;12944;133;4442;8369;25781;149;690;6067;18875;2003
Lokacija - SKUPAJ;43004;254;12467;30283;86616;274;1391;17332;67619;2004
Avtocesta;2409;15;504;1890;4508;21;57;807;3623;2004
V naselju;27300;82;7261;19957;55348;83;647;9698;44920;2004
Zunaj naselja;13295;157;4702;8436;26760;170;687;6827;19076;2004
Lokacija - SKUPAJ;31094;230;10079;20785;60937;258;1266;13048;46365;2005
Avtocesta;1696;24;403;1269;3199;26;49;592;2532;2005
V naselju;19469;76;5787;13606;38128;81;603;7244;30200;2005
Zunaj naselja;9929;130;3889;5910;19610;151;614;5212;13633;2005
Lokacija - SKUPAJ;31569;233;10990;20346;62403;262;1220;14855;46066;2006
Avtocesta;1851;22;444;1385;3631;28;62;687;2854;2006
V naselju;20167;86;6554;13527;40034;92;563;8637;30742;2006
Zunaj naselja;9551;125;3992;5434;18738;142;595;5531;12470;2006
Lokacija - SKUPAJ;30401;263;11151;18987;58959;293;1263;14774;42629;2007
Avtocesta;1757;23;447;1287;3488;30;54;712;2692;2007
V naselju;20014;84;7018;12912;38792;94;681;8976;29041;2007
Zunaj naselja;8630;156;3686;4788;16679;169;528;5086;10896;2007
Lokacija - SKUPAJ;22783;200;8738;13845;44139;214;1068;11341;31516;2008
Avtocesta;1519;9;386;1124;3090;9;50;565;2466;2008
V naselju;14968;72;5527;9369;28853;73;544;6958;21278;2008
Zunaj naselja;6296;119;2825;3352;12196;132;474;3818;7772;2008
Lokacija - SKUPAJ;20597;154;8435;12008;39604;171;1032;11082;27319;2009
Avtocesta;1503;15;475;1013;3025;20;55;725;2225;2009
V naselju;13602;61;5294;8247;26000;64;560;6720;18656;2009
Zunaj naselja;5492;78;2666;2748;10579;87;417;3637;6438;2009
Lokacija - SKUPAJ;21347;127;7433;13787;40348;138;865;9451;29894;2010
Avtocesta;2290;13;468;1809;4270;18;58;670;3524;2010
V naselju;14015;57;4729;9229;26581;60;480;5852;20189;2010
Zunaj naselja;5042;57;2236;2749;9497;60;327;2929;6181;2010
Lokacija - SKUPAJ;22913;129;7089;15695;42105;141;919;8754;32291;2011
Avtocesta;2077;13;425;1639;3982;16;60;647;3259;2011
V naselju;15675;47;4606;11022;28875;47;504;5463;22861;2011
Zunaj naselja;5161;69;2058;3034;9248;78;355;2644;6171;2011
Lokacija - SKUPAJ;22035;122;6742;15171;39971;130;848;8300;30693;2012
Avtocesta;2052;18;423;1611;3760;20;59;632;3049;2012
V naselju;14922;41;4354;10527;27178;42;490;5107;21539;2012
Zunaj naselja;5061;63;1965;3033;9033;68;299;2561;6105;2012
Lokacija - SKUPAJ;18904;116;6426;12362;34481;125;708;8034;25614;2013
Avtocesta;2040;14;419;1607;3708;16;44;568;3080;2013
V naselju;12725;50;4153;8522;23186;53;378;5057;17698;2013
Zunaj naselja;4139;52;1854;2233;7587;56;286;2409;4836;2013
Lokacija - SKUPAJ;18251;97;6167;11987;33253;108;826;7394;24925;2014
Avtocesta;1820;11;360;1449;3406;16;51;548;2791;2014
V naselju;12402;37;4056;8309;22583;40;469;4680;17394;2014
Zunaj naselja;4029;49;1751;2229;7264;52;306;2166;4740;2014
