Cesta;Prometne nesreče - SKUPAJ;Prometne nesreče s smrtnim izidom;Prometne nesreče s telesno poškodbo;Prometne nesreče z materialno škodo;Število udeležencev - SKUPAJ;Število udeležencev - mrtvi;Število udeležencev s hudo telesno poškodbo;Število udeležencev z lahko telesno poškodbo;Število udeležencev brez poškodbe;Leto
Vrsta ceste - SKUPAJ;41170;220;11456;29494;82644;242;1393;15310;65699;2003
Avtoceste;2009;20;463;1526;3828;21;79;678;3050;2003
Hitre in glavne ceste I., II. reda;6037;52;1752;4233;12923;59;244;2559;10061;2003
Turistične, reg. ceste I., II., III. reda;7725;70;2688;4967;15161;77;416;3530;11138;2003
Lokalne ceste;2260;18;759;1483;4045;20;128;952;2945;2003
Naselje z uličnim sistemom;18209;33;4336;13840;37404;36;343;5763;31262;2003
Naselje brez uličnega sistema;4930;27;1458;3445;9283;29;183;1828;7243;2003
Vrsta ceste - SKUPAJ;43004;254;12467;30283;86616;274;1391;17332;67619;2004
Avtoceste;2409;15;504;1890;4508;21;57;807;3623;2004
Hitre in glavne ceste I., II. reda;6247;73;1835;4339;13661;80;247;2868;10466;2004
Turistične, reg. ceste I., II., III. reda;8068;68;2928;5072;15919;73;381;4084;11381;2004
Lokalne ceste;2305;27;847;1431;4094;28;134;1076;2856;2004
Naselje z uličnim sistemom;18898;31;4774;14093;38787;31;391;6425;31940;2004
Naselje brez uličnega sistema;5077;40;1579;3458;9647;41;181;2072;7353;2004
Vrsta ceste - SKUPAJ;31094;230;10079;20785;60937;258;1266;13048;46365;2005
Avtoceste;1696;24;403;1269;3199;26;49;592;2532;2005
Hitre in glavne ceste I., II. reda;4023;43;1361;2619;8528;58;197;1946;6327;2005
Turistične, reg. ceste I., II., III. reda;4750;69;2037;2644;9125;75;355;2636;6059;2005
Lokalne ceste;1457;19;608;830;2563;19;84;771;1689;2005
Naselje z uličnim sistemom;15038;49;4227;10762;29933;51;384;5320;24178;2005
Naselje brez uličnega sistema;4130;26;1443;2661;7589;29;197;1783;5580;2005
Vrsta ceste - SKUPAJ;31569;233;10990;20346;62403;262;1220;14855;46066;2006
Avtoceste;1851;22;444;1385;3631;28;62;687;2854;2006
Hitre in glavne ceste I., II. reda;4252;51;1580;2621;8919;64;219;2328;6308;2006
Turistične, reg. ceste I., II., III. reda;5118;70;2301;2747;9827;74;336;3061;6356;2006
Lokalne ceste;1558;18;656;884;2738;20;98;831;1789;2006
Naselje z uličnim sistemom;14947;39;4574;10334;30205;40;346;6179;23640;2006
Naselje brez uličnega sistema;3843;33;1435;2375;7083;36;159;1769;5119;2006
Vrsta ceste - SKUPAJ;30401;263;11151;18987;58959;293;1263;14774;42629;2007
Avtoceste;1757;23;447;1287;3488;30;54;712;2692;2007
Hitre in glavne ceste I., II. reda;3974;53;1489;2432;8287;58;203;2199;5827;2007
Turistične, reg. ceste I., II., III. reda;4903;89;2211;2603;9318;98;314;2987;5919;2007
Lokalne ceste;1404;25;644;735;2333;27;93;754;1459;2007
Naselje z uličnim sistemom;14380;37;4763;9580;28394;40;425;6143;21786;2007
Naselje brez uličnega sistema;3983;36;1597;2350;7139;40;174;1979;4946;2007
Vrsta ceste - SKUPAJ;22783;200;8738;13845;44139;214;1068;11341;31516;2008
Avtoceste;1519;9;386;1124;3090;9;50;565;2466;2008
Hitre in glavne ceste I., II. reda;3042;48;1179;1815;6309;56;173;1711;4369;2008
Turistične, reg. ceste I., II., III. reda;3534;69;1744;1721;6702;75;271;2284;4072;2008
Lokalne ceste;925;16;473;436;1572;16;86;547;923;2008
Naselje z uličnim sistemom;10870;31;3751;7088;21300;31;309;4818;16142;2008
Naselje brez uličnega sistema;2893;27;1205;1661;5166;27;179;1416;3544;2008
Vrsta ceste - SKUPAJ;20597;154;8435;12008;39604;171;1032;11082;27319;2009
Avtoceste;1503;15;475;1013;3025;20;55;725;2225;2009
Hitre in glavne ceste I., II. reda;2384;28;1020;1336;4891;35;163;1423;3270;2009
Turistične, reg. ceste I., II., III. reda;3213;44;1651;1518;6105;45;218;2209;3633;2009
Lokalne ceste;892;13;479;400;1504;14;77;592;821;2009
Naselje z uličnim sistemom;9882;29;3636;6217;19258;31;348;4697;14182;2009
Naselje brez uličnega sistema;2723;25;1174;1524;4821;26;171;1436;3188;2009
Vrsta ceste - SKUPAJ;21347;127;7433;13787;40348;138;865;9451;29894;2010
Avtoceste;2290;13;468;1809;4270;18;58;670;3524;2010
Hitre in glavne ceste I., II. reda;2027;16;810;1201;4042;18;98;1161;2765;2010
Turistične, reg. ceste I., II., III. reda;3172;38;1451;1683;5968;39;215;1849;3865;2010
Lokalne ceste;778;11;380;387;1301;11;66;423;801;2010
Naselje z uličnim sistemom;10227;33;3260;6934;19768;34;286;4084;15364;2010
Naselje brez uličnega sistema;2853;16;1064;1773;4999;18;142;1264;3575;2010
Vrsta ceste - SKUPAJ;22913;129;7089;15695;42105;141;919;8754;32291;2011
Avtoceste;2077;13;425;1639;3982;16;60;647;3259;2011
Hitre in glavne ceste I., II. reda;1866;27;693;1146;3656;29;114;983;2530;2011
Turistične, reg. ceste I., II., III. reda;3395;42;1378;1975;5974;47;231;1670;4026;2011
Lokalne ceste;969;5;411;553;1509;7;69;492;941;2011
Naselje z uličnim sistemom;11531;20;3122;8389;21747;20;300;3733;17694;2011
Naselje brez uličnega sistema;3075;22;1060;1993;5237;22;145;1229;3841;2011
Vrsta ceste - SKUPAJ;22035;122;6742;15171;39971;130;848;8300;30693;2012
Avtoceste;2052;18;423;1611;3760;20;59;632;3049;2012
Hitre in glavne ceste I., II. reda;1871;18;625;1228;3592;23;89;849;2631;2012
Turistične, reg. ceste I., II., III. reda;3486;40;1373;2073;6104;40;210;1748;4106;2012
Lokalne ceste;878;10;336;532;1296;10;59;378;849;2012
Naselje z uličnim sistemom;10624;17;2982;7625;20002;18;300;3550;16134;2012
Naselje brez uličnega sistema;3124;19;1003;2102;5217;19;131;1143;3924;2012
Vrsta ceste - SKUPAJ;18904;116;6426;12362;34481;125;708;8034;25614;2013
Avtoceste;2040;14;419;1607;3708;16;44;568;3080;2013
Hitre in glavne ceste I., II. reda;1657;14;675;968;3228;14;72;969;2173;2013
Turistične, reg. ceste I., II., III. reda;2645;37;1212;1396;4784;41;200;1485;3058;2013
Lokalne ceste;630;8;297;325;1012;8;47;353;604;2013
Naselje z uličnim sistemom;9219;25;2822;6372;17225;28;212;3515;13470;2013
Naselje brez uličnega sistema;2713;18;1001;1694;4524;18;133;1144;3229;2013
Vrsta ceste - SKUPAJ;18251;97;6167;11987;33253;108;826;7394;24925;2014
Avtoceste;1820;11;360;1449;3406;16;51;548;2791;2014
Hitre in glavne ceste I., II. reda;1589;13;633;943;3033;14;97;857;2065;2014
Turistične, reg. ceste I., II., III. reda;2573;32;1154;1387;4630;34;200;1403;2993;2014
Lokalne ceste;595;9;292;294;930;9;60;300;561;2014
Naselje z uličnim sistemom;8963;19;2719;6225;16692;20;286;3140;13246;2014
Naselje brez uličnega sistema;2711;13;1009;1689;4562;15;132;1146;3269;2014
